Name,Team(s),Matches,Runs,Bat Avg
V Sooryavanshi,RRO,16,776,48.5
Shubman Gill,"KKR, GTI",16,732,45.75
Sai Sudharsan,GTI,17,722,45.13
V Kohli,RCB,16,675,56.25
H Klaasen,"RRO, RCB, SUN",15,624,48
Ishan Kishan,"GUJ, MIN, SUN",15,602,40.13
K L Rahul,"RCB, SUN, KXI, LSG, DDV",14,593,45.62
M R Marsh,"DCH, PWI, RPS, SUN, DDV, LSG",13,563,43.31
Abhishek Sharma,"DDV, SUN",15,563,40.21
J C Buttler,"MIN, RRO, GTI",17,526,37.57
D C Jurel,RRO,16,515,36.79
Prabhsimran Singh,KXI,14,510,42.5
R M Patidar,RCB,15,501,41.75
S S Iyer,"DDV, KKR, KXI",14,498,55.33
C Connolly,KXI,14,491,44.64
S V Samson,"RRO, DDV, CSK",14,477,43.36
D Padikkal,"RCB, RRO, LSG",16,464,33.14
R D Rickelton,MIN,12,448,40.73
Y B K Jaiswal,RRO,16,427,30.5
Angkrish Raghuvanshi,KKR,13,422,42.2
T M Head,"RCB, SUN",15,410,27.33
Washington Sundar,"RPS, RCB, SUN, GTI",17,377,37.7
Priyansh Arya,KXI,13,364,28
Tilak Varma,MIN,14,359,29.92
F H Allen,KKR,11,349,34.9
R D Gaikwad,CSK,14,337,28.08
A M Rahane,"MIN, RRO, RPS, DDV, KKR, CSK",14,335,25.77
C Green,"MIN, RCB, KKR",14,322,32.2
Naman Dhir,MIN,14,318,26.5
D Ferreira,"RRO, DDV",15,317,35.22
R R Pant,"DDV, LSG",14,312,28.36
R Parag,RRO,14,309,23.77
T H David,"RCB, MIN",16,305,33.89
N K Reddy,SUN,14,302,30.2
K Sharma,CSK,11,295,32.78
Rinku Singh,KKR,14,295,59
R G Sharma,"DCH, MIN",9,283,35.38
P Nissanka,DDV,10,278,27.8
T Stubbs,"MIN, DDV",14,275,34.38
S Dube,"RCB, RRO, CSK",13,270,38.57
S A Yadav,"MIN, KKR",13,270,20.77
R A Jadeja,"RRO, KTK, CSK, GUJ",14,266,66.5
J P Inglis,"KXI, LSG",5,266,53.2
S Rizvi,"CSK, DDV",11,252,36
N Pooran,"KXI, SUN, LSG",14,234,18
A K Markram,"KXI, SUN, LSG",12,231,25.67
K H Pandya,"MIN, LSG, RCB",16,226,37.67
N Rana,"MIN, KKR, RRO, DDV",9,225,25
M P Stoinis,"KXI, RCB, DDV, LSG",13,216,36
A Badoni,LSG,10,215,21.5
D A Miller,"KXI, RRO, GTI, LSG, DDV",11,211,35.17
V R Iyer,"KKR, RCB",7,209,52.25
H H Pandya,"MIN, GTI",10,206,22.89
P D Salt,"DDV, KKR, RCB",6,202,33.67
Ayush Mhatre,CSK,6,201,33.5
R Powell,"DDV, RRO, KKR",11,190,38
R Tewatia,"RRO, KXI, DDV, GTI",16,190,27.14
A R Patel,"KXI, DDV",14,173,19.22
Ashutosh Sharma,"KXI, DDV",8,171,34.2
M D Choudhary,LSG,10,170,28.33
S N Khan,"RCB, KXI, DDV, CSK",8,161,23
S Shedge,KXI,7,158,39.5
S Arora,SUN,14,156,22.29
D Brevis,"MIN, CSK",11,151,18.88
W G Jacks,"RCB, MIN",7,139,27.8
J Overton,CSK,10,136,27.2
Shashank Singh,"SUN, KXI",12,132,22
Q de Kock,"SUN, DDV, RCB, MIN, LSG, KKR",3,132,66
U Patel,CSK,7,129,18.43
S E Rutherford,"DDV, RCB, GTI, MIN",8,123,24.6
Abdul Samad,"SUN, LSG",8,116,19.33
J M Sharma,"KXI, RCB",16,116,12.89
A Porel,DDV,4,108,27
J G Bethell,RCB,7,96,13.71
Himmat Singh,LSG,6,92,30.67
P Veer,CSK,6,90,45
R Shepherd,"SUN, LSG, MIN, RCB",15,83,20.75
Ramandeep Singh,"MIN, KKR",8,82,16.4
Shubham Dubey,RRO,7,81,20.25
A Verma,SUN,10,79,13.17
S O Hetmeyer,"RCB, DDV, RRO",8,78,13
M K Pandey,"MIN, RCB, PWI, KKR, SUN, LSG, DDV",6,70,35
G D Phillips,"RRO, SUN, GTI",6,67,16.75
N Wadhera,"MIN, KXI",8,65,10.83
J O Holder,"CSK, SUN, KKR, LSG, RRO, GTI",11,65,13
J C Archer,"RRO, MIN",16,64,10.67
N Sindhu,GTI,8,63,12.6
D Shanaka,"GTI, RRO",7,63,12.6
M W Short,"KXI, CSK",3,60,20
Shahbaz Ahmed,"RCB, SUN, LSG",5,58,
Anshul Kamboj,"MIN, CSK",14,58,58
S Kumar,SUN,13,53,8.83
A S Roy,"MIN, KKR",14,52,13
Azmatullah Omarzai,"GTI, KXI",3,52,26
M Jansen,"MIN, SUN, KXI",13,51,12.75
Rashid Khan,"SUN, GTI",17,50,12.5
C Bosch,MIN,6,50,50
K Rabada,"DDV, KXI, GTI",17,47,23.5
S U Parakh,DDV,4,46,11.5
Shahrukh Khan,"KXI, GTI",9,43,10.75
S P Narine,KKR,13,40,13.33
B Kumar,"PWI, SUN, RCB",16,34,
Mohammed Shami,"KKR, DDV, KXI, GTI, SUN, LSG",13,31,6.2
G F Linde,LSG,3,31,10.33
P J Cummins,"KKR, DDV, SUN",8,30,10
A Raghuwanshi,LSG,3,29,14.5
X C Bartlett,KXI,9,29,29
T U Deshpande,"DDV, CSK, RRO",7,26,13
M J Santner,"CSK, MIN",4,26,
D L Chahar,"RPS, CSK, MIN",8,25,12.5
S N Thakur,"KXI, RPS, CSK, DDV, KKR, LSG, MIN",9,24,12
Arshad Khan,"MIN, LSG, GTI",8,23,23
T L Seifert,"KKR, DDV",3,19,6.33
S Ravichandran,SUN,6,19,6.33
M Tiwari,DDV,3,18,
Kumar Kushagra,"DDV, GTI",1,18,18
K K Nair,"RCB, RRO, DDV, KXI",2,18,9
Arshin Kulkarni,LSG,2,17,8.5
R A Bawa,"KXI, MIN",3,16,16
L S Livingstone,"RRO, KXI, RCB, SUN",2,15,7.5
V Nigam,DDV,5,15,15
Vishnu Vinod,"RCB, MIN, KXI",1,15,
N Burger,RRO,13,14,14
A Nabi,DDV,5,14,14
H S Dubey,SUN,8,13,6.5
K A Jamieson,"RCB, KXI, DDV",2,12,12
Tejasvi Dahiya,KKR,2,12,6
Kartik Tyagi,"RRO, SUN, GTI, KKR",14,11,3.67
Noor Ahmad,"GTI, CSK",14,11,3.67
H V Patel,"RCB, DDV, KXI, SUN",5,10,3.33
Krish Bhagat,MIN,3,10,10
Kuldeep Yadav,"KKR, DDV",12,9,3
T A Boult,"SUN, KKR, DDV, MIN, RRO",5,8,8
Eshan Malinga,SUN,15,7,7
J J Bumrah,MIN,13,7,7
L G Lhuan- dre Pretorius,RRO,2,7,3.5
M J Henry,"KXI, LSG, CSK",3,7,3.5
R Minz,MIN,2,6,6
M Prasidh Krishna,"KKR, RRO, GTI",12,6,
Avesh Khan,"RCB, DDV, LSG, RRO",7,6,6
D A Payne,SUN,2,6,
Mayank Yadav,LSG,4,5,5
Harpreet Brar,KXI,2,5,
A S Tendulkar,"MIN, LSG",1,5,
Mohammed Siraj,"SUN, RCB, GTI",17,5,2.5
C V Varun,"KXI, KKR",11,5,2.5
Sakib Hussain,SUN,11,5,
A J Hosein,"SUN, CSK",7,5,
R Singh,RRO,1,4,4
J D Unadkat,"KKR, RCB, DDV, RPS, RRO, MIN, LSG, SUN",4,4,
S R Dubey,KKR,4,4,
L Ngidi,"CSK, RCB, DDV",12,4,2
P P Hinge,SUN,7,3,3
Rasikh Salam,"MIN, KKR, DDV, RCB",12,3,
Digvesh Rathi,LSG,10,2,
Vijaykumar Vyshak,"RCB, KXI",10,2,
B Sharma,RRO,13,2,
A M Ghazanfar,MIN,11,2,
D Malewar,MIN,2,2,1
Mukesh Choudhary,CSK,8,2,
A F Milne,"RCB, MIN, CSK, RRO",1,2,
V G Arora,"KXI, KKR",11,1,
Arshdeep Singh,KXI,14,1,
T Natarajan,"KXI, SUN, DDV",10,1,
A Kumar,MIN,3,1,
A Sharma,GTI,6,1,
Sushant Mishra,RRO,2,1,
