Name,Team(s),Matches,Wickets,Bowl Avg
M Prasidh Krishna,"KKR, RRO, GTI",15,25,19.52
Noor Ahmad,"GTI, CSK",14,24,17
J R Hazlewood,"CSK, RCB",12,22,17.55
T A Boult,"SUN, KKR, DDV, MIN, RRO",16,22,23.5
Arshdeep Singh,KXI,17,21,24.67
R S Kishore,GTI,15,19,20.68
J J Bumrah,MIN,12,18,17.56
V G Arora,"KXI, KKR",12,17,25.29
K H Pandya,"MIN, LSG, RCB",15,17,22.29
B Kumar,"PWI, SUN, RCB",14,17,28.41
C V Varun,"KXI, KKR",13,17,22.53
M Jansen,"MIN, SUN, KXI",14,16,27.13
P J Cummins,"KKR, DDV, SUN",14,16,28.13
Mohammed Siraj,"SUN, RCB, GTI",15,16,32.94
H V Patel,"RCB, DDV, KXI, SUN",13,16,26.88
Y S Chahal,"MIN, RCB, RRO, KXI",14,16,26.88
H P Rana,KKR,13,15,29.87
Kuldeep Yadav,"KKR, DDV",14,15,24.07
K K Ahmed,"SUN, DDV, CSK",14,15,29.8
H H Pandya,"MIN, GTI",15,14,24.43
M A Starc,"RCB, KKR, DDV",11,14,26.14
Digvesh Rathi,LSG,13,14,30.64
Avesh Khan,"RCB, DDV, LSG, RRO",13,13,37.46
Y Dayal,"GTI, RCB",15,13,36.15
M Pathirana,"CSK, KKR",12,13,32.62
S N Thakur,"KXI, RPS, CSK, DDV, KKR, LSG, MIN",10,13,28.85
Eshan Malinga,SUN,7,13,18.31
M Kumar,DDV,12,12,34
S P Narine,KKR,12,12,29.25
V Nigam,DDV,14,11,32.36
M M Theekshana,"CSK, RRO",11,11,37.27
A Kumar,MIN,7,11,21.09
D L Chahar,"RPS, CSK, MIN",14,11,34.18
J C Archer,"RRO, MIN",12,11,39.18
Wanindu Hasaranga,"RCB, RRO, LSG",11,11,33.73
J D Unadkat,"KKR, RCB, DDV, RPS, RRO, MIN, LSG, SUN",7,11,15.91
R A Jadeja,"RRO, KTK, CSK, GUJ",14,10,32.4
M J Santner,"CSK, MIN",13,10,31.3
Harpreet Brar,KXI,8,10,19
T U Deshpande,"DDV, CSK, RRO",10,9,37.78
Sandeep Sharma,"KXI, SUN, RRO",10,9,40.11
Rashid Khan,"SUN, GTI",15,9,57.11
Ravi Bishnoi,"KXI, LSG, RRO",11,9,44.56
Azmatullah Omarzai,"GTI, KXI",9,8,34.88
S Sharma,"KKR, RCB",14,8,55.25
Anshul Kamboj,"MIN, CSK",8,8,21.5
A D Russell,"DDV, KKR",13,8,27.13
K V Sharma,"RCB, SUN, MIN, CSK",6,7,18.29
R Ashwin,"CSK, RPS, KXI, DDV, RRO",9,7,40.43
Arshad Khan,"MIN, LSG, GTI",9,6,36.17
Z Ansari,SUN,10,6,55.5
W G Jacks,"RCB, MIN",13,6,20
V Puthur,"MIN, RRO",5,6,18.17
R Shepherd,"SUN, LSG, MIN, RCB",8,6,25.17
Moeen Ali,"RCB, CSK, KKR",6,6,22.67
Mohammed Shami,"KKR, DDV, KXI, GTI, SUN, LSG",9,6,56.17
W P O'Rourke,LSG,3,6,22
K A Jamieson,"RCB, KXI, DDV",4,5,29.4
H S Dubey,SUN,3,5,19.6
L H Ferguson,"RPS, KKR, GTI, RCB, KXI",4,5,20.8
A R Patel,"KXI, DDV",12,5,57.6
Vijaykumar Vyshak,"RCB, KXI",5,4,45.25
Yudhvir Singh,"LSG, RRO",4,4,32.75
Mustafizur Rahman,"SUN, MIN, RRO, DDV, CSK",3,4,21.75
L Ngidi,"CSK, RCB, DDV",2,4,20.25
G J Maxwell,"DDV, MIN, KXI, RCB",7,4,27.5
A K Markram,"KXI, SUN, LSG",13,4,25.5
A Madhwal,"MIN, RRO",4,4,41.5
Akash Singh,"RRO, CSK, LSG",3,4,24.75
P V D Chameera,"LSG, KKR, DDV",6,4,42.75
